"","x"
"788","西西里海鮮蕃茄燉飯"
"789","牛肝菌燉飯"
"790","黑墨汁海鮮燉飯"
"791","牛肉醬千層麵"
"792","臘腸蘑菇焗飯"
"793","培根奶油野菇焗麵"
"794","焗烤海鮮麵"
"795","田園素麵蕃茄醬"
"796","橄欖油時蔬義大利麵"
"797","橄欖油時蔬燉飯"
"798","開胃酒"
"799","頂級生菲力牛肉薄片"
"800","美國頂級肋眼"
"801","美國菲力牛排佐鮮蝦"
"802","美國菲力牛排"
"803","新鮮時蔬"
"804","點"
"805","咖啡"
"806","雞尾醬汁蝦"
"807","紐奧良煎蝦"
"808","生煎鮪魚片"
"809","洛克菲焗烤鮮蝦"
"810","紐奧良蟹肉糕"
"811","蟹肉鑲蘑菇"
"812","香煎干貝"
"813","蟹肉馬丁尼"
"814","香煎鵝肝"
"815","菠菜沙拉"
"816","新鮮莫札瑞拉黑柿蕃茄沙拉"
"817","龍蝦湯"
"818","茹絲葵沙拉"
"819","翡翠沙拉"
"820","秋收沙拉"
"821","今日濃湯"
"822","小菲力牛排"
"823","小菲力牛"
"824","紐約牛排"
"825","肋眼牛排"
"826","帶骨肋眼牛排"
"827","丁骨牛排"
"828","紅坊牛排"
"829","戰斧肋眼牛排"
"830","蝦子"
"831","綠胡椒醬"
"832","奧斯卡蟹肉糕"
"833","香酥藍紋起司"
"834","燒烤羊排"
"835","填料雞胸"
"836","燒烤波特菇"
"837","香煎鮪魚"
"838","精選海鮮"
"839","活龍蝦"
"840","焗馬鈴薯"
"841","烤馬鈴薯"
"842","馬鈴薯泥"
"843","炸薯條"
"844","牛排薯條"
"845","洋蔥炒馬鈴薯"
"846","香炒菠菜"
"847","奶油菠菜"
"848","焗菠菜"
"849","青花椰菜"
"850","焗青花椰菜"
"851","火烤玉米"
"852","蒜香烤菇"
"853","烤甘藍菜心"
"854","烤蕃茄"
"855","酥炸洋蔥圈"
"856","焗義大利通心粉"
"857","烤蘆筍配荷蘭醬"
"858","香蕉奶油派"
"859","蘋果派"
"860","起司蛋糕"
"861","魔鬼巧克力蛋糕"
"862","焦布丁"
"863","巧克力豆麵包布丁"
"864","季節性莓子配香草醬"
"865","淇淋"
"866","茶"
"867","卡布奇諾"
"868","義式濃縮咖啡"
"869","香煎挪威鯖魚飯"
"870","香酥鱈魚飯"
"871","梅干扣肉飯"
"872","香蒸肉丸飯"
"873","咖哩飯"
"874","魯肉飯套餐"
"875","雞腿"
"876","排骨"
"877","肉骨茶麵"
"878","雞絲麵"
"879","老媽肉燥麵"
"880","肉骨茶"
"881","味噌湯"
"882","竹筍湯"
"883","皮蛋豆腐"
"884","乾煸四季豆"
"885","小菜"
"886","烤麩"
"887","涼拌雲耳"
"888","辣味黃瓜"
"889","寧式黃芽菜"
"890","炸排骨"
"891","紹興醉雞"
"892","泡菜"
"893","油燜筍"
"894","香辣牛肚冷菜"
"895","醋排骨冷菜"
"896","小籠包"
"897","蟹粉小籠包"
"898","雞肉小籠包"
"899","絲瓜蝦仁小籠包"
"900","松露小籠包"
"901","菜肉蒸餃"
"902","蝦肉蒸餃"
"903","鮮魚蒸餃"
"904","香菇素餃"
"905","蝦仁燒賣"
"906","糯肉燒賣"
"907","蝦肉煎餃"
"908","鮮肉大包"
"909","菜肉大包"
"910","香菇素包"
"911","豆沙大包"
"912","芝麻大包"
"913","芋泥大包"
"914","迷你豆沙包"
"915","迷你芝麻包"
"916","迷你芋泥包"
"917","迷你巧克力包"
"918","元盅雞湯"
"919","元盅牛肉湯"
"920","紅燒牛肉湯全筋"
"921","菜肉餛飩湯"
"922","蝦肉餛飩湯"
"923","酸辣湯原味"
"924","番茄豆腐蛋花湯"
"925","油豆腐細粉"
"926","牛肝菌鮮菇盅"
"927","苦瓜排骨湯"
"928","高麗菜"
"929","地瓜葉"
"930","莧菜"
"931","清炒蝦仁"
"932","紅燒牛肉麵全筋"
"933","元盅雞湯麵"
"934","元盅牛肉湯麵"
"935","紅燒牛肉湯麵"
"936","雪菜肉絲麵"
"937","菜肉餛飩麵"
"938","蝦肉餛飩麵"
"939","蝦仁麵"
"940","排骨麵"
"941","炸醬麵"
"942","雪菜肉絲乾拌麵"
"943","擔擔麵"
"944","麻醬麵"
"945","紅油燃麵"
"946","牛尾炸醬麵"
"947","蝦仁蛋炒飯白米"
"948","肉絲蛋炒飯白米"
"949","排骨蛋炒飯白米"
"950","蝦仁肉絲蛋炒飯白米"
"951","什蔬蛋炒飯白米"
"952","紅油抄手蝦肉"
"953","紅油抄手菜肉"
"954","餛飩乾拌蝦肉"
"955","餛飩乾拌菜肉"
"956","粽子鮮肉"
"957","赤豆鬆糕每份2個"
"958","千層油糕每份2個"
"959","豆沙小籠包"
"960","芋泥小籠包"
"961","巧克力小籠包"
"962","八寶飯小"
"963","酒釀芝麻湯圓熱"
"964","水芝麻湯圓熱"
"965","銀耳四寶湯冷"
"966","樂"
"967","雪碧"
"968","台灣生啤酒600ml"
"969","精釀陳年紹興酒600ml"
"970","御製紹興酒150ml"
"971","米醋禮盒"
"972","非基改純釀醬油396ml"
"973","XO醬禮盒"
"974","鳳梨酥禮盒"
"975","平安筷禮盒"
