,0
39,★觀音鮮奶拿鐵
40,★阿薩姆鮮奶拿鐵
41,皇家伯爵鮮奶拿鐵
42,★宇治抹茶鮮奶拿鐵
43,抹茶紅豆鮮奶拿鐵
44,巧克力可可拿鐵
45,★夏威夷冰茶
46,★鳳梨清茶
47,百香鳳梨綠茶
48,夏威夷鳳梨果茶
49,鮮桔綠茶
50,百香雙拼紅茶
51,百香雙拼綠茶
52,鮮百香紅茶
53,鮮百香綠茶
54,★鮮柚紅
55,★鮮柚綠
56,檸檬紅茶
57,檸檬綠茶
58,養樂多綠茶
59,★藍莓果茶
60,鳳梨冰鑽
61,翡翠鳳梨冰鑽
62,珍珠
63,白玉
64,黑白雙拼珍珠
65,蘆薈
66,紅豆
67,椰果
0,菜單圖
1,蛋炒飯
2,牛肉炒飯
3,廣州炒飯
4,蝦仁炒飯
5,肉絲炒飯
6,雞肉炒飯
7,香腸炒飯
8,鮭魚炒飯
9,什錦炒麵
10,牛肉炒麵
11,什錦炒意麵
12,什錦炒米粉
13,什錦炒烏龍
14,什錦炒河粉
15,雞柳炒河粉
16,豬柳炒河粉
17,牛肉炒河粉
18,牛肉燴飯
19,雞柳燴飯
20,豬柳燴飯
21,海鮮燴飯
22,海鮮粥
23,菜瓜蚵仔粥
24,虱目魚皮粥
25,虱目魚肚粥
26,什錦湯麵
27,什錦湯意麵
28,什錦湯米粉
29,什錦湯烏龍
30,什錦湯河粉
31,味噌湯烏龍
32,今天不訂
0,海產意麵
1,海產雞絲
2,海產米粉
3,海產冬粉
4,海產油麵
5,土魠魚羹
6,酥炸土魠魚
7,土魠魚羹泡飯
8,土魠魚羹米粉
9,土魠魚羹油麵
10,土魠魚羹意麵
11,魚肉羹
12,魚肉羹泡飯
13,魚肉羹米粉
14,魚肉羹油麵
15,肉燥油麵
16,肉燥米粉
17,肉燥飯
18,控肉飯
19,軟骨飯
20,魚肚麵線
21,魚皮麵線
22,蚵仔麵線
23,海產粥
24,魚肚粥
25,魚皮粥
26,蚵仔粥
27,魚肚湯
28,海產湯
29,魚皮湯
30,魚肉湯
31,蚵仔湯
32,蛤仔湯
33,魚丸湯
34,蛋花湯
35,今天不訂
0,菜單圖
1,海鮮炒米粉
2,宮保雞丁飯
3,麻婆豆腐飯
4,蝦仁炒飯
5,蚵仔麵線
6,八寶油飯
7,鹹肉炒飯
8,海鮮炒飯
9,海鮮粥
10,今天不訂
0,頂級茉莉綠茶
1,原生種紅茶
2,台灣厚工烏龍
3,台灣青茶
4,台灣厚工冰奶
5,益菌多綠茶★
6,冰淇淋紅茶★
7,義式芒果青茶★
8,珍珠奶茶
9,雙倍愛玉鮮檸檬★
10,陳家野生蜂蜜※
11,仙草凍冰奶茶
12,微酵檸檬紅
13,鮮桔檸檬汁
14,翡翠鮮檸檬★
15,在地甘蔗青茶(季節限定)※
16,鮮果柚美綠★
17,新鮮果橙綠★
18,鮮果橙多多★
19,野生蜂蜜檸檬★
20,紅茶那提
21,珍珠紅茶那提
22,在地甘蔗鮮奶(季節限定)※
23,手炒黑磚鮮奶※
24,義式可可那堤
25,鮮奶仙草凍※
26,野生蜂蜜鮮奶
27,台灣手摘茶
28,大山翠玉
29,珍藏黑茶
30,在地私房茶
31,檸檬翠玉
32,台灣杉林溪
33,厚工私房奶茶
34,鮮春大禹嶺
35,加珍珠
0,菜單圖
1,香菇滑雞飯
2,廣式蒸肉飯
3,廣式滷肉飯
4,貢丸湯
5,魚丸湯
6,紫菜湯
7,滷蛋
8,今天不訂
0,大大雞腿堡
1,起司豬排堡
2,培根牛肉堡
3,雙層四盎司牛肉堡
4,四盎司牛肉堡
5,大麥克
6,雙層牛肉吉事堡
7,勁辣鷄腿堡
8,麥脆鷄
9,板烤鷄腿堡
10,九塊麥克鷄塊
11,六塊麥克鷄塊
12,麥香魚
13,麥香鷄
0,菜單圖
1,蜜香紅烏龍
2,名間鄉冬片仔
3,金萱烏龍
4,翠玉綠茶
5,台茶18號紅玉
6,手工冬瓜茶
7,仙草冬瓜
8,杏仁凍冬瓜(純南杏)
9,檸檬冬瓜
10,鮮桔冬瓜
11,冬瓜鮮奶
12,鳳梨仙草冰
13,鳳梨紅玉
14,鳳梨水果茶
15,鳳梨多多
16,鳳梨鮮奶
17,愛玉檸檬
18,楊桃愛玉
19,鳳梨愛玉冰
20,檸檬冬瓜愛玉
21,檸檬酸梅愛玉
22,桑椹愛玉
23,百香愛玉
24,梅子綠
25,冬瓜紅玉
26,冬瓜冬片
27,杏仁凍紅玉
28,杏仁凍冬片
29,梅果綠
30,梅果冬片
31,多多綠
