,0
0,★白吐司
1,麥香吐司
2,葡萄吐司
3,椰香吐司
4,★芋頭吐司
5,法式肉鬆吐司
6,法式火腿吐司
7,★波羅麵包
8,★波羅奶酥
9,★青蔥麵包
10,肉鬆麵包
11,★紅醬燻雞
12,玉米麵包
13,起司條
14,NEW起司餅
15,南瓜香頌
16,卡士達麵包
17,★紅豆麵包
18,椰香梅果
19,★鮮奶酥麵包
20,羅宋麵包
21,NEW黃金起司羅宋
22,起司焗烤熱狗
23,★洋蔥起司鮪魚
24,千層芋泥
25,帕瑪森起司
26,香蒜起司火腿
27,NEW青蔥肉脯
28,NEW馬鈴薯沙拉
29,★卡門貝爾
30,★煉乳核桃乳酪
31,岩燒起司燻雞
32,雜糧枸杞
33,NO.2黑鑽麵包3入
34,★維也納麵包
35,NO.1鹽可頌
36,大蒜麵包
37,NEW黑糖地瓜
38,NEW蜂蜜奶油軟包
39,焦糖可頌
40,NO.3波羅可頌
41,★韓國麵包3入
42,NEW葡式蛋塔
43,蔓越莓司康
44,NEW髒髒包
0,白飯
1,雞肉
2,羊肉
3,豬肉
